"","x"
"1",6347.1214774866
"2",2226.50077971589
"3",14419.0302353846
"4",2256.81812876688
"5",2090.02061860754
"6",6338.30062167127
"7",6182.85909481133
"8",2038.86660338135
"9",2110.85728478273
"10",14486.0548425757
"11",10390.6812388878
"12",2332.00376471278
"13",6126.63482461701
"14",6112.74371383355
"15",6183.51892187179
"16",6040.09320537171
"17",6117.15414174122
"18",6265.65011320943
"19",6150.00661827627
"20",2240.39189049935
"21",6278.88139693242
"22",10156.3034752348
"23",10371.7198731362
"24",6093.78234808196
"25",10430.4792708146
"26",10371.7198731362
"27",10243.5049215405
"28",14196.008455031
"29",6170.84328445146
"30",2285.26017739427
"31",2137.42403298652
"32",6420.43181300891
"33",6419.77198594844
"34",2360.44581334017
"35",14349.5746814673
"36",6220.78182631451
"37",10362.2391902604
"38",6258.04473075723
"39",2153.85027125405
"40",2229.03590719995
"41",18320.4839344067
"42",2280.18992242613
"43",2332.00376471278
"44",10155.6436481743
"45",6361.67241533053
"46",6047.03876076344
"47",2144.36958837825
"48",6086.83679269023
"49",2163.33095412984
"50",2672.54434042319
"51",2177.22206491331
"52",2278.31462200253
"53",6289.02190686869
"54",6359.13728784646
"55",14487.9301429993
"56",2303.56171608539
"57",6137.99080791641
"58",10154.9838211138
"59",2064.77352452468
"60",2172.15180994517
"61",6123.43987007248
"62",10160.7139031424
"63",10280.1079989228
"64",2656.11810215566
"65",2031.92104798962
"66",2107.10668393553
"67",10419.1232875152
"68",10501.2544788528
"69",6281.41652441649
"70",2163.33095412984
"71",2322.52308183699
"72",10275.6975710151
"73",10471.4927761045
"74",6122.22439670935
"75",2008.54925433037
"76",6126.63482461701
"77",2048.34728625715
"78",2111.5171118432
"79",2073.59438034001
"80",6431.7877963083
"81",2345.89487549624
"82",6297.84276268402
"83",6277.00609650883
"84",2108.98198435913
"85",6300.37789016808
"86",10393.2163663719
"87",10564.4243044389
"88",2162.67112706938
"89",10355.9534619292
"90",18348.8218022763
"91",2132.35377801839
"92",6278.88139693242
"93",6293.43233477635
"94",6271.93584154069
"95",2104.57155645146
"96",18255.3346276392
"97",2141.83446089418
"98",10197.9768075851
"99",14498.0706529355
"100",2111.5171118432
"101",6084.30166520616
"102",6131.04525252468
"103",2134.88890550245
"104",2031.92104798962
"105",6063.46499903097
"106",2151.31514376998
"107",6476.65608320322
"108",2306.09684356946
"109",10115.185789187
"110",18485.4061441424
"111",2240.39189049935
"112",10428.603970391
"113",2548.0799896747
"114",2102.0364289674
"115",6241.6184924897
"116",2200.59385857256
"117",2074.25420740048
"118",6194.87490517119
"119",10142.968010754
"120",2203.12898605663
"121",6300.37789016808
"122",2059.70326955655
"123",6095.65764850556
"124",6364.20754281459
"125",6283.95165190056
"126",6113.95918719668
"127",2318.11265392932
"128",14393.1233142413
"129",10181.5505693176
"130",2229.03590719995
"131",6424.84224091657
"132",6479.19121068728
"133",6147.4714907922
"134",6431.7877963083
"135",2425.49093934982
"136",6227.72738170624
"137",2022.44036511383
"138",6312.39370052794
"139",18494.2269999577
"140",6511.38386016187
"141",10299.7291917348
"142",6256.16943033363
"143",6109.54875928902
"144",6199.28533307885
"145",6143.06106288454
"146",2362.32111376377
"147",2317.45282686885
"148",10181.5505693176
"149",10099.41937798
"150",2008.54925433037
"151",6370.49327114586
"152",6289.02190686869
"153",6328.81993879547
"154",10222.5640746075
"155",14302.8310941488
"156",18273.7403470882
"157",6197.41003265525
"158",6070.4105544227
"159",6082.42636478256
"160",10234.5798849674
"161",6204.35558804698
"162",2333.87906513638
"163",10059.6213460532
"164",2130.47847759479
"165",6288.36207980822
"166",2031.92104798962
"167",6060.9298715469
"168",10503.1297792764
"169",10304.1396196425
"170",6107.67345886542
"171",2174.68693742924
"172",2226.50077971589
"173",10207.4574904609
"174",6127.85029798015
"175",2125.40822262666
"176",2163.33095412984
"177",6283.95165190056
"178",10148.6980927826
"179",2080.53993573174
"180",6263.11498572536
"181",10259.1671519898
"182",2228.37608013949
"183",6366.08284323819
"184",2153.85027125405
"185",2118.46266723493
"186",2104.57155645146
"187",6131.70507958514
"188",14240.8767419259
"189",6220.12199925405
"190",2125.40822262666
"191",6529.685398853
"192",6180.32396732726
"193",6125.97499755655
"194",2062.23839704061
"195",6612.4764172511
"196",2052.75771416482
"197",2322.52308183699
"198",18400.6356445629
"199",6211.30114343872
"200",2515.22751313965
"201",2146.90471586232
"202",6093.12252102149
"203",2022.44036511383
"204",6133.58038000874
"205",6627.02735509503
"206",14204.8293108463
"207",18427.8622198272
"208",6121.56456964888
"209",6222.65712673811
"210",6349.65660497067
"211",2350.96513046438
"212",2249.87257337514
"213",2081.19976279221
"214",6177.78883984319
"215",10240.309966996
"216",10187.8362976489
"217",6168.96798402786
"218",2327.59333680512
"219",2174.68693742924
"220",6093.78234808196
"221",6117.15414174122
"222",6156.29234660754
"223",10214.4030458527
"224",6316.80412843561
"225",6060.9298715469
"226",6258.04473075723
"227",2292.205732786
"228",2167.74138203751
"229",2162.67112706938
"230",6220.12199925405
"231",18157.4370250945
"232",6316.80412843561
"233",6255.50960327317
"234",10524.6262725121
"235",2247.33744589108
"236",2122.87309514259
"237",2071.05925285594
"238",6410.95113013311
"239",6084.30166520616
"240",6234.67293709797
"241",6149.3467912158
"242",10613.7030192415
"243",10177.14014141
"244",6490.54719398668
"245",10312.3006483974
"246",2090.02061860754
"247",6305.44814513621
"248",6081.76653772209
"249",10597.2767809739
"250",2195.52360360443
"251",10494.3089234611
"252",14436.7761277731
"253",6121.56456964888
"254",14245.2871698335
"255",2261.88838373501
"256",2024.97549259789
"257",2050.22258668075
"258",6513.91898764594
"259",14160.6208510118
"260",2036.33147589729
"261",10191.6910792539
"262",14156.2104231042
"263",6302.25319059168
"264",2299.15128817773
"265",2191.11317569677
"266",2092.5557460916
"267",2273.2443670344
"268",6295.30763519995
"269",10173.9451868654
"270",14269.3187905533
"271",6131.04525252468
"272",6311.73387346748
"273",10347.6882524165
"274",6129.16995210108
"275",6335.10566712674
"276",6398.93531977325
